DATE,mac_dl_cqi,mac_dl_mcs,mac_dl_ok,mac_dl_nok,mac_dl_brate,ue_ident
2022-01-01 00:00:00.000,5,4,1,0,7022,82
2022-01-01 00:00:00.001,5,4,9,1,411822,82
2022-01-01 00:00:00.002,5,0,18,2,259377,82
2022-01-01 00:00:00.003,5,2,25,4,700355,82
2022-01-01 00:00:00.004,5,1,8,1,158577,82
2022-01-01 00:00:00.005,5,3,35,3,1292000,82
2022-01-01 00:00:00.006,5,1,13,0,320088,82
2022-01-01 00:00:00.007,4,0,73,11,1296800,82
2022-01-01 00:00:00.008,4,0,74,9,1137955,82
2022-01-01 00:00:00.009,4,0,75,7,1153333,82
2022-01-01 00:00:00.010,3,0,81,5,1245600,82
2022-01-01 00:00:00.011,4,0,71,10,1101066,82
2022-01-01 00:00:00.012,5,1,20,6,483200,82
2022-01-01 00:00:00.013,6,4,1,0,26044,82
2022-01-01 00:00:00.014,6,4,1,2,7022,82
2022-01-01 00:00:00.015,6,4,18,4,640800,82
2022-01-01 00:00:00.016,4,1,27,0,626933,82
2022-01-01 00:00:00.017,4,0,76,7,1224177,82
2022-01-01 00:00:00.018,4,0,78,7,1199466,82
2022-01-01 00:00:00.019,3,0,76,5,1168711,82
2022-01-01 00:00:00.020,5,1,30,4,553955,82
2022-01-01 00:00:00.021,5,4,1,0,7022,82
2022-01-01 00:00:00.022,6,4,3,1,103200,82
2022-01-01 00:00:00.023,5,2,17,2,511555,82
2022-01-01 00:00:00.024,6,2,2,0,36800,82
2022-01-01 00:00:00.025,5,4,36,2,1708444,82
2022-01-01 00:00:00.026,3,0,74,11,1672000,82
2022-01-01 00:00:00.027,4,0,75,9,1439911,82
2022-01-01 00:00:00.028,4,0,74,9,1424533,82
2022-01-01 00:00:00.029,4,0,80,5,1230222,82
2022-01-01 00:00:00.030,3,0,75,8,1153333,82
2022-01-01 00:00:00.031,4,0,78,7,1199466,82
2022-01-01 00:00:00.032,4,0,70,11,1076444,82
2022-01-01 00:00:00.033,4,0,78,7,1199466,82
2022-01-01 00:00:00.034,3,0,73,8,1122577,82
2022-01-01 00:00:00.035,4,0,75,9,1467644,82
2022-01-01 00:00:00.036,4,0,76,8,1177955,82
2022-01-01 00:00:00.037,3,0,79,5,1214844,82
2022-01-01 00:00:00.038,4,0,75,8,1153333,82
2022-01-01 00:00:00.039,3,0,76,7,1168711,82
2022-01-01 00:00:00.040,3,0,78,6,1199466,82
2022-01-01 00:00:00.041,3,0,68,14,1091911,82
2022-01-01 00:00:00.042,4,1,76,7,1630933,82
2022-01-01 00:00:00.043,4,1,63,6,1287377,82
2022-01-01 00:00:00.044,5,1,1,0,10755,82
2022-01-01 00:00:00.045,5,6,1,0,6666,82
2022-01-01 00:00:00.046,6,6,6,1,350044,82
2022-01-01 00:00:00.047,5,5,6,0,254577,82
2022-01-01 00:00:00.048,4,2,79,5,2804888,82
2022-01-01 00:00:00.049,3,1,75,9,1747111,82
