DATE,mac_dl_cqi,mac_dl_mcs,mac_dl_ok,mac_dl_nok,mac_dl_brate,ue_ident
2022-01-01 00:00:00.000,7,5,1,0,5600,2671
2022-01-01 00:00:00.100,7,10,14,0,1337066,2671
2022-01-01 00:00:00.200,7,6,1,0,6666,2671
2022-01-01 00:00:00.300,7,6,12,0,778311,2671
2022-01-01 00:00:00.400,8,8,1,0,13955,2671
2022-01-01 00:00:00.500,8,9,2,0,139022,2671
2022-01-01 00:00:00.600,7,10,5,0,444000,2671
2022-01-01 00:00:00.700,8,10,3,0,283466,2671
2022-01-01 00:00:00.800,7,7,1,0,12177,2671
2022-01-01 00:00:00.900,7,10,18,0,1662222,2671
2022-01-01 00:00:01.000,8,9,2,0,139022,2671
2022-01-01 00:00:01.100,7,10,8,0,683200,2671
2022-01-01 00:00:01.200,8,6,1,0,6666,2671
2022-01-01 00:00:01.300,7,8,9,1,635466,2671
2022-01-01 00:00:01.400,7,6,8,0,379377,2671
2022-01-01 00:00:01.500,7,5,16,2,760355,2671
2022-01-01 00:00:01.600,7,9,30,1,2466311,2671
2022-01-01 00:00:01.700,5,5,82,6,4604800,2671
2022-01-01 00:00:01.800,4,1,79,6,2229244,2671
2022-01-01 00:00:01.900,6,4,86,4,3600888,2671
2022-01-01 00:00:02.000,5,3,83,3,3059466,2671
2022-01-01 00:00:02.100,5,3,83,5,2856800,2671
2022-01-01 00:00:02.200,6,4,83,5,3323644,2671
2022-01-01 00:00:02.300,5,3,84,2,3110755,2671
2022-01-01 00:00:02.400,6,4,83,6,3936622,2671
2022-01-01 00:00:02.500,5,3,81,5,2779111,2671
2022-01-01 00:00:02.600,5,2,82,3,2673955,2671
2022-01-01 00:00:02.700,5,3,85,3,2528444,2671
2022-01-01 00:00:02.800,5,3,80,4,2972088,2671
2022-01-01 00:00:02.900,5,3,83,5,2851111,2671
2022-01-01 00:00:03.000,6,4,85,4,3368622,2671
2022-01-01 00:00:03.100,5,2,83,3,2431555,2671
2022-01-01 00:00:03.200,5,3,80,5,2761600,2671
2022-01-01 00:00:03.300,5,3,80,5,2744888,2671
2022-01-01 00:00:03.400,6,4,82,6,3260622,2671
2022-01-01 00:00:03.500,5,3,80,5,3176888,2671
2022-01-01 00:00:03.600,6,1,13,0,279733,2671
2022-01-01 00:00:03.700,8,10,7,0,588711,2671
2022-01-01 00:00:03.800,7,9,6,0,491911,2671
2022-01-01 00:00:03.900,7,8,9,1,637244,2671
2022-01-01 00:00:04.000,7,6,38,3,2318577,2671
2022-01-01 00:00:04.100,6,7,6,1,401777,2671
2022-01-01 00:00:04.200,7,9,25,0,2264444,2671
2022-01-01 00:00:04.300,5,4,81,7,4242400,2671
2022-01-01 00:00:04.400,5,2,35,3,836177,2671
2022-01-01 00:00:04.500,6,6,44,4,2443911,2671
2022-01-01 00:00:04.600,7,9,8,2,638400,2671
2022-01-01 00:00:04.700,7,5,2,0,17066,2671
2022-01-01 00:00:04.800,7,10,17,0,1479555,2671
2022-01-01 00:00:04.900,8,6,2,0,26666,2671
2022-01-01 00:00:05.000,6,5,11,1,504622,2671
2022-01-01 00:00:05.100,5,3,78,4,3045511,2671
2022-01-01 00:00:05.200,6,5,73,7,3757777,2671
2022-01-01 00:00:05.300,5,2,81,6,2812177,2671
2022-01-01 00:00:05.400,6,2,84,5,2670577,2671
2022-01-01 00:00:05.500,6,2,87,3,2670844,2671
2022-01-01 00:00:05.600,6,3,86,4,2878755,2671
2022-01-01 00:00:05.700,6,2,85,5,2368444,2671
2022-01-01 00:00:05.800,6,2,85,5,2644355,2671
2022-01-01 00:00:05.900,6,3,85,5,3125422,2671
2022-01-01 00:00:06.000,5,2,85,4,2355288,2671
