DATE,mac_dl_cqi,mac_dl_mcs,mac_dl_ok,mac_dl_nok,mac_dl_brate,ue_ident
2022-01-01 00:00:00.000,5,5,79,8,4311377,2105
2022-01-01 00:00:00.001,5,5,75,9,3688977,2105
2022-01-01 00:00:00.002,5,5,69,9,3832977,2105
2022-01-01 00:00:00.003,5,4,68,9,3089955,2105
2022-01-01 00:00:00.004,5,6,74,8,4654044,2105
2022-01-01 00:00:00.005,4,3,75,10,3133955,2105
2022-01-01 00:00:00.006,5,5,77,8,3827466,2105
2022-01-01 00:00:00.007,5,3,81,7,3157777,2105
2022-01-01 00:00:00.008,5,4,80,7,3227911,2105
2022-01-01 00:00:00.009,5,3,83,5,2854311,2105
2022-01-01 00:00:00.010,5,1,77,6,1885244,2105
2022-01-01 00:00:00.011,5,3,82,6,2853866,2105
2022-01-01 00:00:00.012,5,1,79,4,1699466,2105
2022-01-01 00:00:00.013,5,3,80,6,3329777,2105
2022-01-01 00:00:00.014,5,1,66,3,1571555,2105
2022-01-01 00:00:00.015,7,6,1,0,6666,2105
2022-01-01 00:00:00.016,7,6,10,1,497422,2105
2022-01-01 00:00:00.017,7,10,21,0,1787822,2105
2022-01-01 00:00:00.018,6,6,80,6,4999466,2105
2022-01-01 00:00:00.019,5,3,78,7,2801244,2105
2022-01-01 00:00:00.020,5,2,83,3,2387822,2105
2022-01-01 00:00:00.021,5,2,79,6,2435822,2105
2022-01-01 00:00:00.022,5,3,80,6,2683733,2105
2022-01-01 00:00:00.023,6,3,82,4,3101333,2105
2022-01-01 00:00:00.024,6,4,81,8,3816266,2105
2022-01-01 00:00:00.025,5,3,85,4,3389955,2105
2022-01-01 00:00:00.026,6,4,79,9,3465511,2105
2022-01-01 00:00:00.027,5,3,82,5,2885155,2105
2022-01-01 00:00:00.028,4,1,82,2,1870044,2105
2022-01-01 00:00:00.029,5,2,78,7,2160177,2105
2022-01-01 00:00:00.030,6,4,82,8,3859377,2105
2022-01-01 00:00:00.031,5,3,80,8,2958222,2105
2022-01-01 00:00:00.032,5,2,83,5,2740533,2105
2022-01-01 00:00:00.033,6,4,81,6,3339822,2105
2022-01-01 00:00:00.034,5,3,81,7,3018400,2105
2022-01-01 00:00:00.035,5,3,80,5,2926933,2105
2022-01-01 00:00:00.036,5,3,85,3,3149955,2105
2022-01-01 00:00:00.037,5,2,79,3,2424088,2105
2022-01-01 00:00:00.038,5,2,65,4,1594400,2105
2022-01-01 00:00:00.039,5,3,80,6,2858666,2105
2022-01-01 00:00:00.040,6,4,84,5,3976888,2105
2022-01-01 00:00:00.041,5,3,84,5,3408000,2105
2022-01-01 00:00:00.042,5,3,81,5,2807911,2105
2022-01-01 00:00:00.043,6,4,86,3,3977777,2105
2022-01-01 00:00:00.044,6,4,85,5,4020000,2105
2022-01-01 00:00:00.045,5,2,61,7,1868533,2105
2022-01-01 00:00:00.046,6,5,61,7,3323466,2105
2022-01-01 00:00:00.047,6,4,80,9,3758933,2105
2022-01-01 00:00:00.048,5,3,81,7,2965777,2105
2022-01-01 00:00:00.049,6,3,84,6,2870400,2105
2022-01-01 00:00:00.050,5,2,86,4,2428977,2105
2022-01-01 00:00:00.051,6,1,81,7,2077244,2105
2022-01-01 00:00:00.052,5,2,87,3,2234933,2105
2022-01-01 00:00:00.053,5,2,79,5,2174133,2105
2022-01-01 00:00:00.054,5,1,83,5,1988533,2105
2022-01-01 00:00:00.055,4,0,82,2,1350933,2105
2022-01-01 00:00:00.056,5,2,79,7,2553155,2105
2022-01-01 00:00:00.057,4,0,81,4,1549244,2105
2022-01-01 00:00:00.058,5,2,79,5,1938400,2105
2022-01-01 00:00:00.059,5,3,72,6,2327466,2105
2022-01-01 00:00:00.060,5,1,82,2,1718222,2105
2022-01-01 00:00:00.061,5,3,70,2,2035644,2105
2022-01-01 00:00:00.062,5,2,79,6,2205777,2105
2022-01-01 00:00:00.063,5,2,79,7,2411644,2105
2022-01-01 00:00:00.064,5,1,81,4,2006133,2105
2022-01-01 00:00:00.065,5,1,81,4,2018933,2105
2022-01-01 00:00:00.066,5,3,82,6,2617777,2105
2022-01-01 00:00:00.067,5,3,82,6,3238577,2105
2022-01-01 00:00:00.068,5,1,85,3,2143377,2105
2022-01-01 00:00:00.069,4,1,80,3,1720888,2105
2022-01-01 00:00:00.070,4,0,86,0,1321422,2105
2022-01-01 00:00:00.071,4,2,80,6,2678755,2105
2022-01-01 00:00:00.072,4,0,83,1,1400444,2105
2022-01-01 00:00:00.073,6,3,51,7,1771022,2105
2022-01-01 00:00:00.074,6,5,36,4,1745600,2105
2022-01-01 00:00:00.075,6,3,74,9,2635288,2105
2022-01-01 00:00:00.076,5,1,86,4,1993066,2105
2022-01-01 00:00:00.077,6,1,84,4,1859555,2105
2022-01-01 00:00:00.078,5,2,86,3,2468088,2105
2022-01-01 00:00:00.079,6,3,81,6,2843466,2105
2022-01-01 00:00:00.080,5,2,87,3,2409155,2105
2022-01-01 00:00:00.081,6,2,72,6,1867377,2105
2022-01-01 00:00:00.082,5,2,84,4,2177066,2105
2022-01-01 00:00:00.083,5,1,79,3,1749600,2105
2022-01-01 00:00:00.084,5,2,85,5,2379111,2105
2022-01-01 00:00:00.085,4,0,79,4,1444533,2105
2022-01-01 00:00:00.086,5,3,73,6,2914755,2105
2022-01-01 00:00:00.087,5,1,81,3,1812888,2105
2022-01-01 00:00:00.088,5,3,82,4,2849955,2105
2022-01-01 00:00:00.089,6,3,82,6,2632000,2105
2022-01-01 00:00:00.090,5,1,84,4,1892622,2105
2022-01-01 00:00:00.091,5,3,86,4,3096711,2105
2022-01-01 00:00:00.092,5,2,80,4,2232533,2105
2022-01-01 00:00:00.093,5,2,84,5,2871466,2105
2022-01-01 00:00:00.094,5,1,84,4,1876266,2105
2022-01-01 00:00:00.095,6,2,82,6,2178311,2105
2022-01-01 00:00:00.096,5,1,86,2,2106133,2105
2022-01-01 00:00:00.097,6,2,84,6,2389688,2105
2022-01-01 00:00:00.098,5,1,84,3,1734044,2105
2022-01-01 00:00:00.099,5,3,81,4,2800088,2105
2022-01-01 00:00:00.100,5,2,82,6,2596444,2105
2022-01-01 00:00:00.101,5,0,80,5,1517511,2105
2022-01-01 00:00:00.102,5,1,82,4,1905244,2105
2022-01-01 00:00:00.103,5,1,80,5,2020266,2105
2022-01-01 00:00:00.104,5,1,80,4,1627733,2105
2022-01-01 00:00:00.105,6,3,77,6,2583200,2105
2022-01-01 00:00:00.106,6,4,39,1,1721866,2105
2022-01-01 00:00:00.107,5,2,85,2,2296977,2105
2022-01-01 00:00:00.108,4,2,77,6,2387644,2105
2022-01-01 00:00:00.109,6,3,82,5,3154311,2105
2022-01-01 00:00:00.110,5,1,78,6,2176888,2105
2022-01-01 00:00:00.111,5,1,83,2,1708355,2105
2022-01-01 00:00:00.112,6,4,83,4,3226933,2105
2022-01-01 00:00:00.113,5,2,83,5,2508000,2105
2022-01-01 00:00:00.114,5,1,83,4,2098400,2105
